"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","Food Access",
"06","California","06001400100","Alameda County, CA - 06001400100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400100","Alameda County, CA - 06001400100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400200","Alameda County, CA - 06001400200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400200","Alameda County, CA - 06001400200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400300","Alameda County, CA - 06001400300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400300","Alameda County, CA - 06001400300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400400","Alameda County, CA - 06001400400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400400","Alameda County, CA - 06001400400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400500","Alameda County, CA - 06001400500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400500","Alameda County, CA - 06001400500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400600","Alameda County, CA - 06001400600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400600","Alameda County, CA - 06001400600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400700","Alameda County, CA - 06001400700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400700","Alameda County, CA - 06001400700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400800","Alameda County, CA - 06001400800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400800","Alameda County, CA - 06001400800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400900","Alameda County, CA - 06001400900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001400900","Alameda County, CA - 06001400900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401000","Alameda County, CA - 06001401000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401000","Alameda County, CA - 06001401000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401100","Alameda County, CA - 06001401100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401100","Alameda County, CA - 06001401100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401200","Alameda County, CA - 06001401200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401200","Alameda County, CA - 06001401200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401300","Alameda County, CA - 06001401300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401300","Alameda County, CA - 06001401300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401400","Alameda County, CA - 06001401400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401400","Alameda County, CA - 06001401400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
